id,prompt,sketch_image
1,"Male around 30 years old. Oval shaped face with thick eyebrows. Short straight black hair and a sharp pointed nose. Medium lips and slightly deep eyes.",sketch_001.jpg
2,"Middle aged man about 40 years old. Square face with strong jawline. Short hair, thick moustache and wide nose. Small eyes and medium lips.",sketch_002.jpg
3,"Young man around 25 years old. Curly hair and thin eyebrows. Long narrow nose and narrow face. Slightly pointed chin.",sketch_003.jpg
4,"Male with round face. Small eyes and thick lips. Short straight hair and medium nose. Age approximately 28 years.",sketch_004.jpg
5,"Man around 40 years old. Thick beard covering the chin and jaw. Straight hair with thick eyebrows. Sharp nose and oval face.",sketch_005.jpg
6,"Young male approximately 22 years old. Narrow face with curly hair. Pointed chin and medium sized eyes. Thin lips and sharp nose.",sketch_006.jpg
7,"Male about 35 years old. Oval face with large eyes. Medium length straight hair. Normal nose and slightly thick lips.",sketch_007.jpg
8,"Man around 35 years old. Sharp nose and thin lips. Short hair and thick eyebrows. Slightly long face structure.",sketch_008.jpg
9,"Middle aged man about 45 years old. Square jaw and thick moustache. Curly hair and wide forehead. Medium nose and deep eyes.",sketch_009.jpg
10,"Young man around 24 years old. Round face with small nose. Short hair and thin eyebrows. Small mouth and soft jawline.",sketch_010.jpg
11,"Male around 32 years old. Oval face and long nose. Thick dark eyebrows and straight hair. Medium lips and narrow chin.",sketch_011.jpg
12,"Man approximately 45 years old. Wide face and thick beard. Straight hair and heavy eyebrows. Large nose and deep eyes.",sketch_012.jpg
13,"Young male about 26 years old. Curly hair and narrow face. Thin eyebrows and pointed chin. Medium sized nose.",sketch_013.jpg
14,"Male around 33 years old. Oval face with large nose. Thick eyebrows and straight hair. Medium lips and small eyes.",sketch_014.jpg
15,"Man about 30 years old. Straight short hair and sharp jawline. Medium nose and thick eyebrows. Oval face structure.",sketch_015.jpg
16,"Young male around 23 years old. Round face and small eyes. Short hair and thin eyebrows. Medium nose and narrow lips.",sketch_016.jpg
17,"Male about 34 years old. Oval face with medium nose. Thick lips and slightly large eyes. Short hair.",sketch_017.jpg
18,"Middle aged man around 42 years old. Square face with beard. Wide nose and thick eyebrows. Curly hair.",sketch_018.jpg
19,"Young male around 25 years old. Curly hair and narrow chin. Thin eyebrows and small nose. Long face.",sketch_019.jpg
20,"Man around 35 years old. Straight hair and thick eyebrows. Medium nose and oval face. Thin lips.",sketch_020.jpg
21,"Male around 28 years old. Round face and wide nose. Short hair and medium eyebrows. Small eyes.",sketch_021.jpg
22,"Young man about 24 years old. Oval face with curly medium hair. Thin lips and sharp nose. Medium eyebrows.",sketch_022.jpg
23,"Man about 38 years old. Square face with moustache. Thick eyebrows and short hair. Medium nose.",sketch_023.jpg
24,"Male around 27 years old. Narrow face with sharp nose. Thin eyebrows and straight hair. Small mouth.",sketch_024.jpg
25,"Middle aged man around 45 years old. Curly hair and thick beard. Wide nose and heavy eyebrows. Oval face.",sketch_025.jpg
26,"Young male around 23 years old. Round face with small nose. Thin lips and short hair. Light eyebrows.",sketch_026.jpg
27,"Man about 33 years old. Oval face with thick eyebrows. Pointed chin and medium nose. Short hair.",sketch_027.jpg
28,"Male around 40 years old. Square jaw and thick beard. Straight hair and large nose. Deep eyes.",sketch_028.jpg
29,"Young man around 26 years old. Curly hair and narrow face. Long nose and thin lips. Sharp chin.",sketch_029.jpg
30,"Man about 36 years old. Round face with thick eyebrows. Short hair and medium nose. Small eyes.",sketch_030.jpg
31,"Young woman around 24 years old. Oval face with long straight hair. Thin eyebrows and small nose. Soft lips.",sketch_031.jpg
32,"Female around 28 years old. Round face and medium length hair. Large eyes and thin lips. Small pointed nose.",sketch_032.jpg
33,"Woman about 30 years old. Long wavy hair and oval face. Sharp nose and medium eyebrows. Full lips.",sketch_033.jpg
34,"Young woman around 22 years old. Narrow face with curly hair. Thin eyebrows and small mouth. Medium nose.",sketch_034.jpg
35,"Female around 35 years old. Straight shoulder length hair. Round face with small nose. Thick lips.",sketch_035.jpg
36,"Woman about 40 years old. Oval face with medium hair. Large eyes and sharp nose. Thin lips.",sketch_036.jpg
37,"Young woman around 25 years old. Long curly hair. Thin eyebrows and narrow chin. Small nose.",sketch_037.jpg
38,"Female about 30 years old. Round face and thick eyebrows. Medium nose and full lips. Straight hair.",sketch_038.jpg
39,"Woman around 34 years old. Oval face with long hair. Sharp nose and medium lips. Deep eyes.",sketch_039.jpg
40,"Young female about 23 years old. Curly hair and small nose. Thin eyebrows and narrow face. Soft lips.",sketch_040.jpg
41,"Woman around 28 years old. Straight hair and oval face. Medium nose and thin lips. Large eyes.",sketch_041.jpg
42,"Female about 32 years old. Round face with medium hair. Small nose and thick lips. Thin eyebrows.",sketch_042.jpg
43,"Young woman around 24 years old. Long straight hair. Sharp nose and oval face. Medium lips.",sketch_043.jpg
44,"Female around 29 years old. Curly hair and narrow face. Thin lips and small nose. Large eyes.",sketch_044.jpg
45,"Woman about 37 years old. Round face and medium hair. Thick eyebrows and wide nose. Full lips.",sketch_045.jpg
46,"Young woman around 26 years old. Long wavy hair and oval face. Thin eyebrows and small nose. Soft lips.",sketch_046.jpg
47,"Female about 31 years old. Straight hair and narrow face. Medium nose and thick lips. Large eyes.",sketch_047.jpg
48,"Woman around 35 years old. Curly hair and oval face. Sharp nose and thin lips. Deep eyes.",sketch_048.jpg
49,"Young female around 22 years old. Round face and small nose. Long hair and thin eyebrows. Medium lips.",sketch_049.jpg
50,"Woman about 30 years old. Oval face with medium hair. Sharp nose and full lips. Large expressive eyes.",sketch_050.jpg